Index,Study_ID,Cohort_ID,Ex_ID,Comparisons,Comparison_structure,Co_manipulation,Species,Strain,Sex,Induced_model,Music_type,Genre,Control,Assays,n_effect_sizes
1,Camargo_2013_PSYN,Camargo_2013_PSYN_ex001,ex001,0.silence_0.music,Independent,None,Rat,Wistar,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze; Open Field Test,10
2,Chen_2019_BIOMEDRI,Chen_2019_BIOMEDRI_ex001,ex001,control.prior_music.prior; contro.after_music.after,Independent,No; Yes,Rat,Sprague Dawley,Male,Fear conditioning,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze; Open Field Test,6
3,Chen_2019_BIOMEDRI,Chen_2019_BIOMEDRI_ex002,ex002,control.prior_music.prior; contro.after_music.after,Independent,No; Yes,Rat,Sprague Dawley,Female,Fear conditioning,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze; Open Field Test,6
4,Cheng_2024_HLYN,Cheng_2024_HLYN_ex001,ex001,CUMS_light,Independent,CUMS,Mouse,ICR,Male,Chronic Unpredictable Mild Stress,Light,Mixed,ambiet sound,Sucrose Preference Test (SPT); Forced Swim Test (FST); Open Field Test,4
5,Cheng_2024_HLYN,Cheng_2024_HLYN_ex002,ex002,CUMS_Classical,Independent,CUMS,Mouse,ICR,Male,Chronic Unpredictable Mild Stress,classical,Western Art Music / Orchestral,ambiet sound,Sucrose Preference Test (SPT); Forced Swim Test (FST); Open Field Test,4
6,Cheng_2024_HLYN,Cheng_2024_HLYN_ex003,ex003,CUMS_Atonal,Independent,CUMS,Mouse,ICR,Male,Chronic Unpredictable Mild Stress,Atonal,Western Art Music / Orchestral,ambiet sound,Sucrose Preference Test (SPT); Forced Swim Test (FST); Open Field Test,4
7,Cheng_2024_HLYN,Cheng_2024_HLYN_ex004,ex004,CUMS_ROCK,Independent,CUMS,Mouse,ICR,Male,Chronic Unpredictable Mild Stress,Rock,Popular Contemporary Music,ambiet sound,Sucrose Preference Test (SPT); Forced Swim Test (FST); Open Field Test,4
8,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex001,ex001,SILENCE_MUSIC,Independent,No,Mouse,Slc:ddY,Female,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze,4
9,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex002,ex002,WHITENOISE_MUSIC,Independent,No,Mouse,Slc:ddY,Female,None/innate,classical,Western Art Music / Orchestral,white noise,Elevated Plus Maze,4
10,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex003,ex003,SILENCE_MUSIC,Independent,No,Mouse,Slc:ddY,Male,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Elevated Plus Maze,4
11,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex004,ex004,WHITENOISE_MUSIC,Independent,No,Mouse,Slc:ddY,Male,None/innate,classical,Western Art Music / Orchestral,white noise,Elevated Plus Maze,4
12,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex005,ex005,SILENCE_MUSIC,Independent,Yes,Mouse,Slc:ddY,Female,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test; Elevated Plus Maze; Light-Dark Box; Marble burying,9
13,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex006,ex006,WHITENOISE_MUSIC,Independent,Yes,Mouse,Slc:ddY,Female,None/innate,classical,Western Art Music / Orchestral,white noise,Open Field Test; Elevated Plus Maze; Light-Dark Box; Marble burying,9
14,Chikahisa_2007_BBR,Chikahisa_2007_BBR_ex007,ex007,SILENCE_MUSIC,Independent,Yes,Mouse,Slc:ddY,Female,None/innate,classical,Western Art Music / Orchestral,ambiet sound,Open Field Test; Elevated Plus Maze; Light-Dark Box; Marble burying,10
