ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnVR,lnVR_var,lnCVR,lnCVR_var
es001,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Open arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,stressed animals in the EPM test had less open arm entries,8,8,2.7099,0,0.05,NA,2.002,0.372,1.051,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.3027650529487418,0.03449240140994113,3.045474365448805,0.14285714285714285,3.348239418397547,0.17734954426708396
es002,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out002,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Closed arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,NA,8,8,5.018,1.598,4.52,NA,2.625,0.446,1.263,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.6479505519006433,0.13035776441361313,-1.2750221504757857,0.14285714285714285,-0.6270715985751424,0.273214907270756
es003,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out003,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Time in open arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,8,8,2.4669000000000003,0,0.05,NA,31.378,8.288,23.443,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-2.543144708747941,0.0698241056381475,6.150304216421372,0.14285714285714285,3.6071595076734306,0.21268124849529033
es004,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out004,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Time in closed arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2d,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,reversal of anxiety behaviours…less time in closed arms,8,8,299.892,0.753,2.131,NA,256.189,7.158,20.247,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.15750695650662289,7.870588871651356e-4,2.251415281312899,0.14285714285714285,2.4089222378195214,0.14364420174430798
es005,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out005,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Head dips,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2e,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,The number of head-dips and rearing in stressed animals were lesser,8,8,5.0994,0,0.05,NA,3.256,0.461,1.305,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.4486234376102048,0.02009194972251538,3.261935314328648,0.14285714285714285,3.7105587519388523,0.1629490925796582
es006,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out006,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Anxiety,Elevated Plus Maze,NA,Rearings,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2f,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,NA,8,8,7.835,0.979,2.77,NA,16.431,1.061,3.001,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.7405689186617099,0.019793763868537696,0.08009824625898279,0.14285714285714285,-0.6604706724027269,0.16265090672568056
es007,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,T1,day 1,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),NA,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,8,8,20.423,3.169,8.963,NA,72.418,4.812,13.611,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.7750404024135729,0.00982282090232135,NA,NA,NA,NA
es008,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out002,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,T2,day 2,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),NA,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,8,8,36.504,7.848,22.197,NA,73.603,4.043,11.435,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.46345237353627333,0.017761378302888358,NA,NA,NA,NA
es009,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out003,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,T3,day 3,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Sucrose Preference Test (SPT),NA,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,NA,8,8,36.471,8.627,24.402,NA,73.595,6.144,17.377,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.46389284773993583,0.023669853453327873,NA,NA,NA,NA
es010,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,NA,out001,NA,Rattus norvegicus,Rat,Wistar,Male,Young adult,NA,Young adult,NA,Posttest-Only Control Group,NA,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,NA,Young adult,NA,28 days,NA,None,NA,Before,NA,Single trial,NA,1,NA,21,NA,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,NA,Not applicable,0,Depression,Forced Swim Test (FST),NA,Immobility,time,s,Not reported,0,Figure 4,Krishnamurthy_2025_fig_4,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,NA,8,8,191.061,23.743,67.155,NA,7.542,0.838,2.37,NA,NA,No,NA,No,Yes,not reported,No,NA,No,NA,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-3.232105349949919,0.027786045590066373,-3.344113425213999,0.14285714285714285,-0.11200807526407977,0.17064318844720924
