ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID...7,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,Ex_ID...65,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var,lnCVR,lnCVR_var,lnCVR_unstd
es001,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Open arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,stressed animals in the EPM test had less open arm entries,8,8,0.005,0,0.05,,2.002,0.372,1.051,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,5.992464047,12.53444985,-2.9469896819922607,12.677306989963085,-2.9469896819922607
es002,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Closed arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,5.018,1.598,4.52,,2.625,0.446,1.263,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.647950552,0.130357764,0.6270715985751424,0.273214907270756,-0.6270715985751424
es003,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,0.005,0,0.05,,31.378,8.288,23.443,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,8.744424377,12.56977275,-2.594120160537429,12.712629897728657,-2.594120160537429
es004,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out004,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2d,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,reversal of anxiety behaviours…less time in closed arms,8,8,299.892,0.753,2.131,,256.189,7.158,20.247,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.157506957,7.87e-4,-2.4089222378195214,0.14364420174430798,2.4089222378195214
es005,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out005,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2e,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,The number of head-dips and rearing in stressed animals were lesser,8,8,0.005,0,0.05,,3.256,0.461,1.305,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-6.478816815,12.52007993,3.2168815003596833,12.662937075142429,-3.2168815003596833
es006,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out006,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Rearings,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2f,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,7.835,0.979,2.77,,16.431,1.061,3.001,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.740568919,0.019793764,0.6604706724027269,0.16265090672568056,-0.6604706724027269
es010,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Immobility,time,s,Not reported,0,Figure 4,Krishnamurthy_2025_fig_4,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,191.061,23.743,67.155,,7.542,0.838,2.37,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,3.23210535,0.027786046,0.11200807526407977,0.17064318844720924,-0.11200807526407977
es011,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,IENM_,IECM,IENM_IECM,Yes,,8,8,8.296,0.605,1.712,,9.17,0.964,2.727,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.100163815,0.016377853,0.36537601080275395,0.15923499586561637,0.36537601080275395
es012,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,IENM_,IECM,IENM_IECM,Yes,,8,8,114.329,8.748,24.743,,107.391,11.463,32.422,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.062603877,0.017248076,0.3328984612151502,0.16010521908464742,0.3328984612151502
es013,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,IENM_,IECM,IENM_IECM,No,,8,8,76.54,8.358,23.639,,103.372,9.897,27.994,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,-0.300520652,0.021090303,0.131428341329257,0.16394744565116925,-0.131428341329257
