ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,Ex_ID...65,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnRR,lnRR_var
es001,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Open arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,stressed animals in the EPM test had less open arm entries,8,8,0.005,0,0.05,,2.002,0.372,1.051,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,5.992464047,12.53444985
es002,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Closed arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,5.018,1.598,4.52,,2.625,0.446,1.263,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.647950552,0.130357764
es003,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,0.005,0,0.05,,31.378,8.288,23.443,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,8.744424377,12.56977275
es004,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out004,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2d,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,reversal of anxiety behaviours…less time in closed arms,8,8,299.892,0.753,2.131,,256.189,7.158,20.247,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.157506957,7.87E-04
es005,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out005,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2e,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,The number of head-dips and rearing in stressed animals were lesser,8,8,0.005,0,0.05,,3.256,0.461,1.305,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-6.478816815,12.52007993
es006,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out006,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Rearings,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2f,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,7.835,0.979,2.77,,16.431,1.061,3.001,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-0.740568919,0.019793764
es007,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,T1,day 1,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,20.423,3.169,8.963,,72.418,4.812,13.611,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.775040402,0.009822821
es008,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,T2,day 2,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,36.504,7.848,22.197,,73.603,4.043,11.435,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.463452374,0.017761378
es009,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,T3,day 3,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Sucrose Preference Test (SPT),,Consumption,percentage,%,Not reported,0,Figure 3,Krishnamurthy_2025_fig_3c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,36.471,8.627,24.402,,73.595,6.144,17.377,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.463892848,0.023669853
es010,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Immobility,time,s,Not reported,0,Figure 4,Krishnamurthy_2025_fig_4,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,191.061,23.743,67.155,,7.542,0.838,2.37,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,3.23210535,0.027786046
