ES_ID,Title,DOI,Publish_in,Study_ID,Year,Ex_ID,Exp_note,Outcome_ID,Outcome_notes,Species_latin,Species_common,Strain,Sex,Lifestage_exposure,Lifestage_exposure_notes,Lifestage_testing,Lifestage_testing_notes,Experimental_design,Experimental_design_notes,Comparison_structure,Combined_manipulation,Combined_manipulation_notes,Induced behaviour,Inducing_procedure,Inducing_procedure_notes,Lifestage_inducing_procedure,Lifestage_inducing_procedure_ notes,Inducing_procedure_duration,Inducing_procedure_duration_notes,Experimental_procedures,Experimental_procedures_notes,Relative_timing,Timing_notes,Test_sequence,Test_sequence_notes,Exposure_duration,Exposure_notes,Exposure_span,Exposure_span_notes,Music_exposure_duration,Music_timing,Music_type,Music_notes,Meta_genre,Loudness,Frequency,Stimulus_reporting,Control_conditions,Control_loudness,Control_notes,Control_frequency,Control_stimulus_reporting,Outcome_type,Assay_type,Assay_type_notes,Measurment_variable,Data_type,Data_units,Measurement_timing,Timing_reporting,Data_source,Data_file,C_ID,E_ID,Comparison,Higher_better,Higher_better_notes,C_n,Ex_n,C_mean,C_SE,C_SD,C_CI,Ex_mean,Ex_SE,Ex_SD,Ex_CI,Stat_comment,ROB_guideline,ROB_guideline_name,ROB_blinding,ROB_randomization,ROB_rand_method,ROB_attrition,ROB_attrition_notes,ROB_selective_reporting,ROB_selective_reporting_notes,Overall_rob,Reporting_quality,Cohort_ID,lnVR,lnVR_var
es001,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Open arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2a,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,stressed animals in the EPM test had less open arm entries,8,8,0,0,0.05,,2.002,0.372,1.051,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,3.045474365448805,0.14285714285714285
es002,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out002,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Closed arm entries,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2b,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,5.018,1.598,4.52,,2.625,0.446,1.263,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-1.2750221504757857,0.14285714285714285
es003,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out003,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in open arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2c,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,Yes,,8,8,0,0,0.05,,31.378,8.288,23.443,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,6.150304216421372,0.14285714285714285
es004,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out004,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Time in closed arms,time,s,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2d,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,reversal of anxiety behaviours…less time in closed arms,8,8,299.892,0.753,2.131,,256.189,7.158,20.247,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,2.251415281312899,0.14285714285714285
es005,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out005,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Head dips,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2e,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,The number of head-dips and rearing in stressed animals were lesser,8,8,0,0,0.05,,3.256,0.461,1.305,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,3.261935314328648,0.14285714285714285
es006,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out006,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Elevated Plus Maze,,Rearings,count,N/A,Not reported,0,Figure 2,Krishnamurthy_2025_fig_2f,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,7.835,0.979,2.77,,16.431,1.061,3.001,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,0.08009824625898279,0.14285714285714285
es010,"Indian classical Mohana Raga (instrumental music) overcomes anxiety, depression and memory impairment in chronic unpredictable mild stress rat model– A behavioural study",10.56042/ijtk.v24i4.12620,Indian Journal of Traditional Knowledge,Krishnamurthy_2025_INDIANJTRADITKNOW,2025,ex001,,out001,,Rattus norvegicus,Rat,Wistar,Male,Young adult,,Young adult,,Posttest-Only Control Group,,Independent,Yes,CUMS,Induced,Chronic Unpredictable Mild Stress,,Young adult,,28 days,,None,,Before,,Single trial,,1,,21,,Short,unclear,classical,Indian classical music Mohana Raga,Traditional Music / Folk / World,65-75,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Depression,Forced Swim Test (FST),,Immobility,time,s,Not reported,0,Figure 4,Krishnamurthy_2025_fig_4,CUMS_,CUMS+MUSIC,CUMS_CUMS+MUSIC,No,,8,8,191.061,23.743,67.155,,7.542,0.838,2.37,,,No,,No,Yes,not reported,No,,No,,2,3,Krishnamurthy_2025_INDIANJTRADITKNOW_Ex-ID,-3.344113425213999,0.14285714285714285
es011,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out001,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Motion,distance,m,Not reported,1,Figure 1,Freitas_2020_fig_1A,IENM_,IECM,IENM_IECM,Yes,,8,8,8.296,0.605,1.712,,9.17,0.964,2.727,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.4655398261439012,0.14285714285714285
es012,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out002,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Crossed lines,count,N/A,Not reported,1,Figure 1,Freitas_2020_fig_1B,IENM_,IECM,IENM_IECM,Yes,,8,8,114.329,8.748,24.743,,107.391,11.463,32.422,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.27029458399097206,0.14285714285714285
es013,Classical Music and Environmental Enrichment Enhanced Spatial Memory and Learning and Increased Mouse Innate Tendency to Avoid Open Spaces,10.31080/ecne.2021.13.00837,EC Neurology,Freitas_2020_ECNE,2020,ex001,,out003,,Mus musculus,Mouse,BALB/c,Female,Mixed,Juvenile to young adult,Young adult,,Factorial,,Independent,No,,Innate,,,,,,,None,,Before,,Single trial,,12,10 min silent invertval every 30 min of music,39,3 times a week during 3 months,Medium,dark phase,classical,Western classicals,Western Art Music / Orchestral,65,Not reported,1,ambiet sound,Not reported,,Not applicable,0,Anxiety,Open Field Test,,Immobility,time,s,Not reported,1,Figure 1,Freitas_2020_fig_1C,IENM_,IECM,IENM_IECM,No,,8,8,76.54,8.358,23.639,,103.372,9.897,27.994,,,No,,No,Not reported,not reported,No,,No,,1,3,Freitas_2020_ECNE_Ex-ID,0.1690923110397102,0.14285714285714285
