metric,ri,k,estimate,se,ci.lb,ci.ub,tval,pval,sigma2_Study,sigma2_ES,sigma2_Strain,I2_Total,I2_Study_ID,I2_ES_ID,I2_Strain
lnRR,0,298,-0.23678041465699257,0.06825774339187668,-0.37111052913156317,-0.10245030018242199,-3.468916534459762,5.999212646957661e-4,0.0595864812437464,0.22240540680413343,2.8570310464573314e-9,96.38050140491144,20.36574498932379,76.01475543909827,9.76489373163606e-7
lnVR,0,222,0.13159572360190497,0.12252384284622632,-0.10986890797176235,0.3730603551755723,1.074041758280993,0.28397524546672526,0.09587515894527737,1.240385929769937,2.7829759011093726e-9,92.16301879046298,6.612588012650514,85.55043058586836,1.9194412072552377e-7
lnRR,0.25,298,-0.2363035748763993,0.06826783926559316,-0.3706535578641182,-0.10195359188868042,-3.461418691707382,6.162094211718773e-4,0.0596811797033852,0.22271505413275705,2.893623376016711e-9,96.44633292333516,20.382817397238266,76.06351453784235,9.882545415968595e-7
lnVR,0.25,222,0.1313021736206118,0.12249268827999397,-0.11010105989629876,0.37270540713752237,1.0719184586795998,0.284925811013409,0.09598040379077305,1.2400655071983089,2.7616747420808726e-9,92.21473472047134,6.624628227844723,85.59010630201408,1.90612538913631e-7
lnRR,0.5,298,-0.23566548347343388,0.06829715018039391,-0.37007314985859435,-0.10125781708827342,-3.4505902933133874,6.404639724693679e-4,0.05983208918022726,0.2231000048308985,2.527211098420999e-9,96.56082866119681,20.41986816787518,76.14095963081928,8.625023489770078e-7
lnVR,0.5,222,0.13038983997419396,0.12240054128947081,-0.11083179428333634,0.37161147423172425,1.065271759426528,0.2879154226091128,0.0963256852920496,1.2390690061458938,2.356682647872177e-9,92.41562384419603,6.666192654389509,85.74943102671297,1.6309357684133063e-7
lnRR,0.75,298,-0.23476271684045028,0.06836354211640945,-0.3693010414619071,-0.1002243922189934,-3.4340338369345504,6.792800866924904e-4,0.060085456815321174,0.22361934329647504,1.4368560834894747e-9,96.822820915418,20.505974495652875,76.31684592939465,4.903704783758221e-7
lnVR,0.75,222,0.12875666686214615,0.12225311668094517,-0.11217442942370778,0.3696877631480001,1.0531974182562058,0.29340065322027015,0.09701364430544127,1.2372660480923967,2.580282327547768e-9,93.05760645210624,6.766090772601026,86.29151549954678,1.799584437026169e-7
lnRR,0.9,298,-0.23397431825403117,0.06844315325141083,-0.36866931627760724,-0.09927932023045508,-3.418520438334834,7.17635357760372e-4,0.06034195948201075,0.22406891837883486,1.8326815485660899e-9,97.29662022903757,20.642911839109896,76.6537077629695,6.269581558333666e-7
lnVR,0.9,222,0.1273548296730619,0.12214432326519883,-0.11336186130652198,0.36807152065264576,1.042658604743751,0.2982456552377861,0.0976779003117396,1.235668889315454,2.4103188253758606e-9,94.50538438137309,6.923245752457389,87.58213845807636,1.7083935584808968e-7
