model,ri,rho,k,estimate,se,ci.lb,ci.ub,tval,pval,anxiety_est,depression_est
lnRR_overall,0,0,298,-0.2502377551335165,0.07065301110979423,-0.38928171701581427,-0.11119379325121867,-3.54178471947429,4.612954300506423e-4,NA,NA
lnVR_overall,0,0,222,0.14080714608225617,0.12750219373663546,-0.11046860172538184,0.39208289388989415,1.1043507719804648,0.27064193583435686,NA,NA
lnVR_contrast_depression_minus_anxiety,0,0,219,-0.6389625832232686,0.22082022324403325,-1.0741895935099603,-0.2037355729365769,-2.893587253179873,0.0041971127539577255,0.3148616715637202,-0.3241009116595484
lnRR_overall,0,0.25,298,-0.24270286501281443,0.06897774436991967,-0.3784499295504284,-0.10695580047520048,-3.518567723978143,5.018158111686686e-4,NA,NA
lnVR_overall,0,0.25,222,0.1362347804679985,0.12503388520153363,-0.11017653281658488,0.38264609375258185,1.0895828778607568,0.27708357977027154,NA,NA
lnVR_contrast_depression_minus_anxiety,0,0.25,219,-0.632618992870996,0.22083772125002737,-1.0678804909628485,-0.1973574947791435,-2.864632859323699,0.004584953103655871,0.3101775978708045,-0.3224413950001915
lnRR_overall,0,0.5,298,-0.23678041465699257,0.06825774339187668,-0.37111052913156317,-0.10245030018242199,-3.468916534459762,5.999212646957661e-4,NA,NA
lnVR_overall,0,0.5,222,0.13159572360190497,0.12252384284622632,-0.10986890797176235,0.3730603551755723,1.074041758280993,0.28397524546672526,NA,NA
lnVR_contrast_depression_minus_anxiety,0,0.5,219,-0.626282208662615,0.22077788490809436,-1.061425771939334,-0.19113864538589587,-2.8367071680359848,0.004989702224121262,0.305485922026246,-0.32079628663636894
lnRR_overall,0,0.75,298,-0.23270926002972056,0.0681435090572632,-0.36681456321573946,-0.09860395684370163,-3.4149879166652166,7.266473595157004e-4,NA,NA
lnVR_overall,0,0.75,222,0.12675045884267858,0.11988914202161535,-0.10952181956002291,0.36302273724538003,1.057230510664812,0.2915606677723258,NA,NA
lnVR_contrast_depression_minus_anxiety,0,0.75,219,-0.6199441230713348,0.2206472280033634,-1.054830167298467,-0.1850580788442026,-2.8096619598678343,0.005412436816689495,0.3007142710414416,-0.31922985202989324
lnRR_overall,0,0.9,298,-0.23119599489054835,0.06826060272925201,-0.3655317364939671,-0.09686025328712963,-3.386960935688793,8.019843658942331e-4,NA,NA
lnVR_overall,0,0.9,222,0.12366562620047485,0.11820806606112697,-0.10929366121192503,0.35662491361287474,1.0461691009861012,0.29662583609519005,NA,NA
lnVR_contrast_depression_minus_anxiety,0,0.9,219,-0.6161398591153755,0.22053921263970663,-1.0508130097809547,-0.18146670844979634,-2.793788241739844,0.005675466357636322,0.2977860604732634,-0.3183537986421121
lnRR_overall,0.25,0,298,-0.25013458977887804,0.07067621207064873,-0.3892242107699104,-0.1110449687878457,-3.5391623638352425,4.6571350950045336e-4,NA,NA
lnVR_overall,0.25,0,222,0.14076745787450184,0.12749967267787685,-0.11050332154077935,0.39203823728978304,1.1040613275152915,0.2707671881173792,NA,NA
lnVR_contrast_depression_minus_anxiety,0.25,0,219,-0.6378007820729686,0.2206618523002203,-1.0727156501501318,-0.20288591399580552,-2.890398931325983,0.00423830144554966,0.31452341428557956,-0.3232773677873891
lnRR_overall,0.25,0.25,298,-0.24239494312982726,0.06899638124400448,-0.3781786847286046,-0.10661120153104992,-3.5131544402684227,5.117315385939157e-4,NA,NA
lnVR_overall,0.25,0.25,222,0.13607176361719592,0.12501699195192376,-0.11030625718978987,0.3824497844241817,1.0884261530586448,0.2775925396830673,NA,NA
lnVR_contrast_depression_minus_anxiety,0.25,0.25,219,-0.6317849664913683,0.22071472120179142,-1.066804036863185,-0.1967658961195516,-2.8624505110094143,0.004615470564241041,0.3098383791576274,-0.3219465873337409
lnRR_overall,0.25,0.5,298,-0.2363035748763993,0.06826783926559316,-0.3706535578641182,-0.10195359188868042,-3.461418691707382,6.162094211718773e-4,NA,NA
lnVR_overall,0.25,0.5,222,0.1313021736206118,0.12249268827999397,-0.11010105989629876,0.37270540713752237,1.0719184586795998,0.284925811013409,NA,NA
lnVR_contrast_depression_minus_anxiety,0.25,0.5,219,-0.6257574852984366,0.22069139745842012,-1.0607305855913036,-0.19078438500556943,-2.835441220205848,0.005008798981130846,0.3051384179704705,-0.3206190673279661
lnRR_overall,0.25,0.75,298,-0.2320309105402919,0.0681480436237887,-0.36614513767852774,-0.09791668340205606,-3.4048066268962702,7.532160088629283e-4,NA,NA
lnVR_overall,0.25,0.75,222,0.1263230240319308,0.11984370535046114,-0.10985970976618337,0.36250575783004496,1.0540647392578697,0.2930043016991283,NA,NA
lnVR_contrast_depression_minus_anxiety,0.25,0.75,219,-0.6197123657145961,0.22059697825104876,-1.0544993698758038,-0.18492536155338835,-2.809251380630142,0.0054190981420469,0.30035364481328597,-0.3193587209013101
lnRR_overall,0.25,0.9,298,-0.23034774096416455,0.0682660663316373,-0.36469423484706676,-0.09600124708126237,-3.3742641599580776,8.384579129194118e-4,NA,NA
lnVR_overall,0.25,0.9,222,0.12315818928880556,0.11815375692105504,-0.10969406804525267,0.3560104466228638,1.0423552538502374,0.29838590659870917,NA,NA
lnVR_contrast_depression_minus_anxiety,0.25,0.9,219,-0.6160762143506191,0.22051029509398362,-1.0506923697972597,-0.18146005890397848,-2.7938659920075,0.005674150213927535,0.29741615232693874,-0.31866006202368036
lnRR_overall,0.5,0,298,-0.2500170294055185,0.07070793597228632,-0.3891690825123343,-0.11086497629870273,-3.5359118600705814,4.7124495303546175e-4,NA,NA
lnVR_overall,0.5,0,222,0.1406479255873892,0.1274922078112133,-0.11060814239510641,0.3919039935698848,1.1031884065860442,0.2711451723374735,NA,NA
lnVR_contrast_depression_minus_anxiety,0.5,0,219,-0.6342513466379023,0.22017875232543668,-1.068214045775981,-0.20028864749982356,-2.8806201322298475,0.004366942909826941,0.3134908918534818,-0.3207604547844205
lnRR_overall,0.5,0.25,298,-0.24200207582921768,0.06903129587728264,-0.377854528851081,-0.10614962280735435,-3.5056864101092096,5.257125984272567e-4,NA,NA
lnVR_overall,0.5,0.25,222,0.13557316592786095,0.1249666255460612,-0.11070559496894916,0.38185192682467106,1.0848749843044319,0.2791590600802504,NA,NA
lnVR_contrast_depression_minus_anxiety,0.5,0.25,219,-0.6292518579813333,0.22034049724521274,-1.063533349288123,-0.1949703666745437,-2.8558157299656584,0.00470939081252112,0.30880546964260847,-0.32044638833872485
lnRR_overall,0.5,0.5,298,-0.23566548347343388,0.06829715018039391,-0.37007314985859435,-0.10125781708827342,-3.4505902933133874,6.404639724693679e-4,NA,NA
lnVR_overall,0.5,0.5,222,0.13038983997419396,0.12240054128947081,-0.11083179428333634,0.37161147423172425,1.065271759426528,0.2879154226091128,NA,NA
lnVR_contrast_depression_minus_anxiety,0.5,0.5,219,-0.6241790195592504,0.22042877914024714,-1.0586345106232806,-0.18972352849522017,-2.8316584703402925,0.005066258717115053,0.3040745932199337,-0.3201044263393167
lnRR_overall,0.5,0.75,298,-0.23111100343843757,0.06817319987648332,-0.3652747376675366,-0.09694726920933852,-3.3900565597209185,7.933188829601833e-4,NA,NA
lnVR_overall,0.5,0.75,222,0.12497205726000876,0.11971140141440477,-0.11094993772651185,0.3608940522465294,1.043944484681064,0.2976516333226942,NA,NA
lnVR_contrast_depression_minus_anxiety,0.5,0.75,219,-0.6190339506084547,0.22044469262124783,-1.0535208064481265,-0.18454709476878284,-2.8081145581129237,0.005437581097936667,0.29923523827378556,-0.3197987123346691
lnRR_overall,0.5,0.9,298,-0.22921084944877393,0.06829290146851785,-0.3636101544389583,-0.09481154445858961,-3.3562909836893837,8.927385639857573e-4,NA,NA
lnVR_overall,0.5,0.9,222,0.12153764801677239,0.11799773248406026,-0.1110071231797288,0.35408241921327355,1.0299998606599523,0.3041359950952877,NA,NA
lnVR_contrast_depression_minus_anxiety,0.5,0.9,219,-0.6159125242648261,0.22042275878974676,-1.0503561494811062,-0.18146889904854602,-2.7942328988465417,0.0056679430153818485,0.29625632563294296,-0.31965619863188316
lnRR_overall,0.75,0,298,-0.24988067914969123,0.07075164110761985,-0.3891187432428177,-0.11064261505656472,-3.5318004676329613,4.783296315207472e-4,NA,NA
lnVR_overall,0.75,0,222,0.14044714057982116,0.12748010054135497,-0.11078506692468265,0.391679348084325,1.101718150388967,0.2717826316681248,NA,NA
lnVR_contrast_depression_minus_anxiety,0.75,0,219,-0.6281131699337706,0.2193459431230375,-1.0604344385272435,-0.19579190134029778,-2.863573225885667,0.004599747718893782,0.31170836790127865,-0.316404802032492
lnRR_overall,0.75,0.25,298,-0.2414723471399707,0.06909432238424597,-0.37744883528919987,-0.10549585899074154,-3.4948218436400533,5.466924045569508e-4,NA,NA
lnVR_overall,0.75,0.25,222,0.13470923197627535,0.12488398840557852,-0.11140667125775322,0.3808251352103039,1.0786749662317634,0.2819085474290208,NA,NA
